name,busmap
virtual_relation/5664553:0-225,FR1 0
virtual_relation/5665483:b:1-225,FR1 0
virtual_relation/5665483:c:1-225,FR1 0
virtual_relation/5675019:a:1-225,FR1 0
virtual_relation/5952075:b:1-400,FR1 0
virtual_relation/5977378:b:1-225,FR1 0
virtual_relation/5977379:a:1-225,FR1 0
virtual_relation/5977381:b:1-225,FR1 0
virtual_relation/6028654:1-225,FR1 0
virtual_relation/6028667:0-225,FR1 0
virtual_relation/6100028:1-225,FR1 0
virtual_relation/6170186:a:1-225,FR1 0
virtual_relation/6291066:1-225,FR1 0
virtual_relation/6359588:a:1-225,FR1 0
virtual_relation/6410875:1-225,FR1 0
virtual_relation/6492540:a:1-400,FR1 0
virtual_relation/6492540:b:1-400,FR1 0
virtual_relation/6757421:b:1-225,FR1 0
virtual_relation/6901347:a:1-225,FR1 0
virtual_relation/6942078:a:1-225,FR1 0
virtual_relation/6942079:a:1-225,FR1 0
virtual_relation/6969077:1-225,FR1 0
virtual_relation/6997560:a:1-225,FR1 0
virtual_relation/6997563:b:1-225,FR1 0
virtual_relation/7062320:a:1-225,FR1 0
virtual_relation/7839721:a:1-225,FR1 0
virtual_relation/7839729:b:1-225,FR1 0
virtual_relation/7847993:a:1-225,FR1 0
